Area;Generator;Type;Capacity;Zone;Node;Dispatchable;Cb_val;Efficiency;var O&M [Eur2015/MWh];Fuel;Fuel cost [Eur2012/GJ];Emission CO2 kg/GJ;EE;Electrical capacity;Fraction of category - for Poland coal and lignite is in the same category
DK1_MedSmall;GNR_ENG_NGAS_BP_E-40;GBPR;0;3;6;1;0.9;0.844444444;2.1168;NATGAS;7.64658528;56.1;0.4;0;0
DK1_MedSmall;GNR_ENG_NGAS_BP_E-41;GBPR;11.10665249;3;6;1;0.9;0.865555556;2.16972;NATGAS;7.64658528;56.1;0.41;5.261045916;0.010209532
DK1_MedSmall;GNR_ENG_NGAS_BP_E-46;GBPR;0;3;6;1;0.9;0.971111111;2.43432;NATGAS;7.64658528;56.1;0.46;0;0
DK1_MedSmall;GNR_GT_NGAS_BP_E-31;GBPR;62.52089205;3;6;1;0.95;0.636315789;1.3671;NATGAS;7.64658528;56.1;0.31;30.45889613;0.057470876
DK1_MedSmall;GNR_ST_MSW_BP_E-20;GBPR;0;3;6;1;0.295760708;0.876222345;4.8608;MUNIWASTE;-3.259066353;35;0.2;0;0
DK1_MedSmall;GNR_ST_STRW_BP_E-21;GBPR;0;3;6;1;0.444656474;0.682274693;0.2058;STRAW;6.162678302;0;0.21;0;0
DK1_Medium;GNR_ENG_BGAS_BP_E-34;GBPR;1.710517226;3;6;1;0.82;0.754634146;2.6656;BIOGAS;12.71578864;0;0.34;0.770672596;0.002057997
DK1_Medium;GNR_ENG_BGAS_BP_E-35;GBPR;0;3;6;1;0.82;0.776829268;2.744;BIOGAS;12.71578864;0;0.35;0;0
DK1_Medium;GNR_ENG_BGAS_BP_E-37;GBPR;0;3;6;1;0.82;0.821219512;2.9008;BIOGAS;12.71578864;0;0.37;0;0
DK1_Medium;GNR_ENG_BGAS_BP_E-41;GBPR;7.911142066;3;6;1;0.82;0.91;3.2144;BIOGAS;12.71578864;0;0.41;3.564360711;0.009518236
DK1_Medium;GNR_ENG_NGAS_BP_E-34;GBPR;0;3;6;1;0.9;0.717777778;1.79928;NATGAS;7.64658528;56.1;0.34;0;0
DK1_Medium;GNR_ENG_NGAS_BP_E-36;GBPR;0;3;6;1;0.9;0.76;1.90512;NATGAS;7.64658528;56.1;0.36;0;0
DK1_Medium;GNR_ENG_NGAS_BP_E-40;GBPR;0;3;6;1;0.9;0.844444444;2.1168;NATGAS;7.64658528;56.1;0.4;0;0
DK1_Medium;GNR_ENG_NGAS_BP_E-41;GBPR;15.814108;3;6;1;0.9;0.865555556;2.16972;NATGAS;7.64658528;56.1;0.41;7.490893264;0.014536751
DK1_Medium;GNR_ENG_NGAS_BP_E-42;GBPR;22.80173651;3;6;1;0.9;0.886666667;2.22264;NATGAS;7.64658528;56.1;0.42;10.80082256;0.020959966
DK1_Medium;GNR_ENG_NGAS_BP_E-43;GBPR;5.222332829;3;6;1;0.9;0.907777778;2.27556;NATGAS;7.64658528;56.1;0.43;2.473736603;0.004800508
DK1_Medium;GNR_ENG_NGAS_BP_E-44;GBPR;17.2116337;3;6;1;0.9;0.928888889;2.32848;NATGAS;7.64658528;56.1;0.44;8.152879122;0.015821394
DK1_Medium;GNR_GT_NGAS_BP_E-31;GBPR;33.09929592;3;6;1;0.95;0.636315789;1.3671;NATGAS;7.64658528;56.1;0.31;16.12529801;0.030425758
DK1_Medium;GNR_GT_NGAS_BP_E-43;GBPR;0;3;6;1;0.95;0.882631579;1.8963;NATGAS;7.64658528;56.1;0.43;0;0
DK1_Medium;GNR_GT_NGAS_BP_E-44;GBPR;0;3;6;1;0.95;0.903157895;1.9404;NATGAS;7.64658528;56.1;0.44;0;0
DK1_Medium;GNR_GT_NGAS_BP_E-47;GBPR;0;3;6;1;0.95;0.964736842;2.0727;NATGAS;7.64658528;56.1;0.47;0;0
DK1_Medium;GNR_ST_MSW_BP_E-18;GBPR;0;3;6;1;0.295760708;0.788600111;4.37472;MUNIWASTE;-3.259066353;35;0.18;0;0
DK1_Medium;GNR_ST_MSW_BP_E-21;GBPR;0;3;6;1;0.295760708;0.920033463;5.10384;MUNIWASTE;-3.259066353;35;0.21;0;0
DK1_Medium;GNR_ST_MSW_BP_E-22;GBPR;0;3;6;1;0.295760708;0.96384458;5.34688;MUNIWASTE;-3.259066353;35;0.22;0;0
DK1_Medium;GNR_ST_WOODCHI_BP_E-27;GBPR;138.9795194;3;6;1;0.34;1.064117647;1.00548;WOODCHIPS;6.2;0;0.27;35.26346015;0.16721225
DK1_Medium;GNR_ST_WOODCHI_BP_E-30;GBPR;241.6105496;3;6;1;0.34;1.182352941;1.1172;WOODCHIPS;6.2;0;0.3;61.30416931;0.290692066
DK1_Rural;GNR_ENG_BGAS_BP_E-30;GBPR;16.03609827;3;6;1;0.82;0.665853659;2.352;BIOGAS;12.71578864;0;0.3;7.225055262;0.019293721
DK1_Rural;GNR_ENG_BGAS_BP_E-34;GBPR;2.76088189;3;6;1;0.82;0.754634146;2.6656;BIOGAS;12.71578864;0;0.34;1.243913819;0.003321736
DK1_Rural;GNR_ENG_BGAS_BP_E-35;GBPR;0;3;6;1;0.82;0.776829268;2.744;BIOGAS;12.71578864;0;0.35;0;0
DK1_Rural;GNR_ENG_BGAS_BP_E-37;GBPR;1.697153894;3;6;1;0.82;0.821219512;2.9008;BIOGAS;12.71578864;0;0.37;0.764651755;0.002041919
DK1_Rural;GNR_ENG_BGAS_BP_E-39;GBPR;1.6570639;3;6;1;0.82;0.865609756;3.0576;BIOGAS;12.71578864;0;0.39;0.74658923;0.001993685
DK1_Rural;GNR_ENG_BGAS_BP_E-40;GBPR;5.612634102;3;6;1;0.82;0.887804878;3.136;BIOGAS;12.71578864;0;0.4;2.528769211;0.006752802
